Race No.,Universe,Text ID,WPM,Accuracy,Epoch
1,dictionary,dict,95.167,1.0,1757871392.0
2,dictionary,dict,131.9552,0.9921,1757908609.0
3,dictionary,dict,124.4213,0.9854,1757914210.0
4,dictionary,dict,120.5622,0.9591,1757914425.0
5,play,2,89.7829,0.94,1757914487.0
6,dictionary,dict,127.4523,0.9753,1758055319.0
7,dictionary,dict,129.1454,0.9848,1758055415.0
8,dictionary,dict 100,114.037,0.9849,1758066845.0
9,dictionary,dict(30),137.7275,0.9744,1758066983.0
10,dictionary,dict(30),135.0307,0.9812,1758103077.0
11,dictionary,dict(30),140.246,0.9867,1758103092.0
12,dictionary,dict(30),133.2119,0.9815,1758103156.0
13,dictionary,dict(30),139.3539,0.9506,1758103170.0
14,dictionary,dict(30),132.3486,0.9441,1758103185.0
15,dictionary,dict(30),131.3343,0.9379,1758103201.0
16,dictionary,dict(30),148.5595,0.9937,1758103218.0
17,dictionary,dict(30),129.05,0.9057,1758103233.0
18,dictionary,dict(30),128.5932,0.9728,1758103255.0
19,dictionary,dict(30),139.4916,0.9695,1758103270.0
20,dictionary,dict(10),130.2184,0.98,1758103287.0
21,dictionary,dict(10),121.2718,0.9318,1758103294.0
22,dictionary,dict(10),134.469,1.0,1758103301.0
23,dictionary,dict(10),146.135,1.0,1758103307.0
24,dictionary,dict(10),143.676,0.9216,1758103312.0
25,dictionary,dict(10),128.8444,0.9091,1758103318.0
26,dictionary,dict(10),130.9138,1.0,1758103326.0
27,dictionary,dict(10),128.7524,0.9636,1758103332.0
28,dictionary,dict(10),114.7006,0.9455,1758103338.0
29,dictionary,dict(10),125.0709,1.0,1758103343.0
30,dictionary,dict(10),136.8763,1.0,1758103349.0
31,dictionary,dict(10),119.7323,0.9811,1758103356.0
32,dictionary,dict(10),146.6195,1.0,1758103361.0
33,dictionary,dict(10),109.2974,0.9318,1758103366.0
34,dictionary,dict(10),128.5266,0.9787,1758103371.0
35,dictionary,dict(10),141.9552,1.0,1758103377.0
36,dictionary,dict(10),92.7662,0.8043,1758103382.0
37,dictionary,dict(10),141.1163,1.0,1758103388.0
38,dictionary,dict(10),111.9666,0.9524,1758103393.0
39,dictionary,dict(10),124.6611,1.0,1758103399.0
40,dictionary,dict(10),114.6676,1.0,1758103404.0
41,dictionary,dict(10),139.1309,1.0,1758103550.0
42,dictionary,dict(10),135.1148,0.9811,1758132143.0
43,dictionary,dict(10),133.0227,1.0,1758132156.0
44,dictionary,dict(10),133.6529,0.96,1758132161.0
45,dictionary,dict(10),109.3465,0.9808,1758132168.0
46,dictionary,dict(10),129.222,0.963,1758132173.0
47,dictionary,dict(10),132.9744,0.9608,1758132179.0
48,dictionary,dict(10),139.5434,1.0,1758132184.0
49,dictionary,dict(10),8.9619,0.1406,1758132187.0
50,dictionary,dict(10),137.8047,0.9804,1758132204.0
51,dictionary,dict(10),145.2225,1.0,1758132211.0
52,dictionary,dict(10),129.6992,1.0,1758132219.0
53,dictionary,dict(10),134.8358,1.0,1758132233.0
54,dictionary,dict(10),88.7181,0.9091,1758132242.0
55,dictionary,dict(10),121.6041,1.0,1758132261.0
56,dictionary,dict(10),145.242,1.0,1758132268.0
57,dictionary,dict(10),130.6456,0.9767,1758132273.0
58,dictionary,dict(10),100.1805,0.913,1758132280.0
59,dictionary,dict(10),136.5007,1.0,1758132285.0
60,dictionary,dict(10),131.9367,0.9423,1758132291.0
61,dictionary,dict(10),123.8334,1.0,1758132298.0
62,dictionary,dict(10),100.8047,0.9608,1758132305.0
63,play,1793,109.4044,0.9883,1758542738.0
64,dictionary,dict(10),124.4387,0.9667,1758570238.0
65,dictionary,dict(10),142.7689,1.0,1758570244.0
66,dictionary,dict(10),145.799,1.0,1758570251.0
67,dictionary,dict(10),104.6995,0.963,1758570259.0
68,dictionary,dict(10),128.6407,0.9286,1758570267.0
69,dictionary,dict(10),129.5401,1.0,1758570271.0
70,dictionary,dict(10),131.4077,0.9565,1758570276.0
71,dictionary,dict(10),114.2621,1.0,1758570282.0
72,dictionary,dict(10),137.8524,1.0,1758570288.0
73,dictionary,dict(10),101.2064,0.975,1758570293.0
74,dictionary,dict(10),93.0978,0.8913,1758570298.0
75,dictionary,dict(10),132.6985,0.9655,1758570304.0
76,dictionary,dict(10),129.4701,0.9677,1758570311.0
77,dictionary,dict(10),102.0761,0.8542,1758570316.0
78,dictionary,dict(10),85.4237,1.0,1758570323.0
79,dictionary,dict(10),103.2806,0.9615,1758570329.0
80,dictionary,dict(10),109.8655,1.0,1758570335.0
81,dictionary,dict(10),96.5619,1.0,1758570342.0
82,dictionary,dict(10),97.3018,0.9649,1758570349.0
83,dictionary,dict(10),106.7121,1.0,1758570356.0
84,dictionary,dict(10),54.9031,0.6522,1758570361.0
85,dictionary,dict(10),7.3248,0.1481,1758570363.0
86,play,1123,110.9129,0.9768,1758646089.0
87,dictionary,dict(100),128.0452,0.9494,1759401985.0
88,dictionary,dict(50),125.681,1.0,1760124999.0
89,dictionary,dict(50),136.9512,1.0,1760125060.0
90,dictionary,dict(50),138.5992,1.0,1760125086.0
91,play,659,93.9903,1.0,1760180987.0
92,play,2033,114.8665,0.96,1760180998.0
93,play,1951,126.6944,0.9901,1760181017.0
94,play,2,130.507,1.0,1760181025.0
95,play,1917,96.5832,0.9485,1760181049.0
96,play,1279,89.9857,0.9895,1760181074.0
97,play,499,119.0036,0.9908,1760181096.0
98,play,205,115.6485,0.9733,1760181121.0
99,play,274,128.1094,0.9722,1760181138.0
100,play,1933,99.3167,0.9115,1760181151.0
101,play,139,102.3065,1.0,1760181165.0
102,play,429,113.7612,0.978,1760181174.0
103,play,1351,114.1422,0.9888,1760181203.0
104,play,1062,105.9654,0.9744,1760181225.0
105,play,380,104.3726,0.9855,1760181242.0
106,play,405,132.2966,0.9828,1760181252.0
107,play,548,125.8537,0.9531,1760181258.0
108,play,359,89.4274,0.9828,1760181266.0
